emp_id,country,first_name,last_name,date_of_birth,sales_team_id
emp_1,UK,Freddie,Mercury,12/05/1975,st_1
emp_2,UK,David,Bowie,25/03/1970,st_1
emp_3,UK,Adele,McCartney,21/09/1985,st_1
emp_4,UK,Elton,Lennon,05/11/1972,st_1
emp_5,UK,Amy,Winehouse,14/08/1980,st_1
emp_6,UK,Mick,Jagger,02/07/1978,st_1
emp_7,UK,Ed,Hendrix,17/12/1988,st_1
emp_8,UK,George,Harrison,08/06/1973,st_1
emp_9,UK,Lily,Lennon,30/04/1987,st_1
emp_10,UK,Paul,McCartney,11/10/1982,st_1
emp_11,UK,John,Lennon,25/11/1981,st_1
emp_12,UK,Robert,Plant,20/03/1977,st_1
emp_13,UK,Roger,Waters,04/12/1979,st_1
emp_14,UK,Jimmy,Page,18/01/1974,st_1
emp_15,UK,Phil,Collins,30/06/1985,st_1
emp_16,UK,Steve,Winwood,22/09/1988,st_1
emp_17,UK,Brian,May,12/08/1983,st_1
emp_18,UK,Ray,Davies,05/07/1976,st_1
emp_19,UK,Mick,Fleetwood,11/10/1979,st_1
emp_20,UK,Rod,Stewart,29/04/1982,st_1
emp_21,UK,Keith,Richards,28/02/1976,st_1
emp_22,UK,Pete,Townshend,14/05/1987,st_1
emp_23,UK,Dave,Gilmour,08/03/1984,st_1
emp_24,DACH,Wolfgang,Beethoven,15/11/1982,st_2
emp_25,DACH,Ludwig,Mozart,08/09/1985,st_2
emp_26,DACH,Johann,Wagner,22/04/1976,st_2
emp_27,DACH,Franz,Schubert,17/07/1979,st_2
emp_28,DACH,Richard,Bach,02/03/1989,st_2
emp_29,DACH,Clara,Strauss,10/08/1983,st_2
emp_30,DACH,Johannes,Brahms,05/12/1977,st_2
emp_31,DACH,Gustav,Haydn,19/01/1987,st_2
emp_32,DACH,Anton,Mahler,27/06/1981,st_2
emp_33,DACH,Felix,Schumann,31/10/1986,st_2
emp_34,DACH,Hans,Zimmer,12/12/1973,st_2
emp_35,DACH,Ennio,Morricone,10/05/1976,st_2
emp_36,DACH,Herbert,Grönemeyer,07/02/1988,st_2
emp_37,DACH,Max,Reger,24/07/1984,st_2
emp_38,DACH,Kurt,Weill,15/06/1978,st_2
emp_39,DACH,Paul,Lincke,03/09/1989,st_2
emp_40,DACH,Reinhard,Mey,21/04/1977,st_2
emp_41,DACH,Georg,Katzer,11/11/1985,st_2
emp_42,DACH,Karlheinz,Stockhausen,01/10/1982,st_2
emp_43,DACH,Friedrich,Gulda,09/08/1987,st_2
emp_44,DACH,Franz,Xaver,02/09/1984,st_2
emp_45,DACH,Gustav,Bruder,04/06/1981,st_2
emp_46,DACH,Wolfgang,Frey,28/04/1986,st_2
emp_47,DACH,Richard,Schmitt,13/01/1983,st_2
emp_48,MENA,Ali,Ibn Farid,24/07/1986,st_3
emp_49,MENA,Omar,Al-Khayyam,11/02/1974,st_3
emp_50,MENA,Leila,Al-Andalus,03/05/1980,st_3
emp_51,MENA,Hassan,Al-Ghazali,17/10/1983,st_3
emp_52,MENA,Fatimah,Ibn Sina,29/09/1987,st_3
emp_53,MENA,Yasmine,Al-Maghribi,08/12/1975,st_3
emp_54,MENA,Ammar,Ibn Rushd,02/11/1979,st_3
emp_55,MENA,Nour,Al-Kindi,12/04/1989,st_3
emp_56,MENA,Khalid,Al-Farabi,19/06/1976,st_3
emp_57,MENA,Layla,Al-Hallaj,28/08/1984,st_3
emp_58,FR,Claude,Debussy,07/03/1988,st_4
emp_59,FR,Édith,Piaf,19/06/1981,st_4
emp_60,FR,Maurice,Ravel,10/12/1979,st_4
emp_61,FR,Camille,Saint-Saëns,15/09/1982,st_4
emp_62,FR,Hector,Berlioz,25/10/1973,st_4
emp_63,FR,Léo,Delibes,28/08/1984,st_4
emp_64,FR,Charlotte,Bizet,12/11/1976,st_4
emp_65,FR,Georges,Bizet,03/05/1985,st_4
emp_66,FR,Élisabeth,Satie,20/04/1977,st_4
emp_67,FR,Jean,Franck,01/02/1987,st_4
emp_68,IT,Antonio,Vivaldi,18/09/1975,st_5
emp_69,IT,Giuseppe,Verdi,27/04/1980,st_5
emp_70,IT,Isabella,Puccini,09/11/1983,st_5
emp_71,IT,Leonardo,Rossini,12/08/1977,st_5
emp_72,IT,Maria,Monteverdi,22/06/1986,st_5
emp_73,IT,Francesco,Corelli,15/03/1982,st_5
emp_74,IT,Sofia,Scarlatti,06/10/1976,st_5
emp_75,IT,Luca,Bellini,31/01/1984,st_5
emp_76,IT,Paolo,Donizetti,14/05/1979,st_5
emp_77,IT,Laura,Albinoni,03/12/1988,st_5
emp_78,IT,Alessandro,Paganini,08/11/1976,st_5
emp_79,IT,Giorgio,Rossellini,22/02/1980,st_5
emp_80,IT,Isadora,Rossellini,15/03/1983,st_5
emp_81,IT,Marco,Belcanto,30/06/1977,st_5
emp_82,IT,Adriana,Montemarano,14/05/1986,st_5
emp_83,IT,Franco,DellaTorre,12/01/1982,st_5
emp_84,IT,Silvia,Marcellini,11/10/1976,st_5
emp_85,IT,Lorenzo,Bellucci,25/01/1984,st_5
emp_86,IT,Giulia,DiMarco,03/05/1979,st_5
emp_87,IT,Vittorio,DeSantis,01/12/1988,st_5
